--------------------------------------------------------------------------------
Marvellous Indosystems Mon Jan 23 21:18:36 2023
--------------------------------------------------------------------------------

{'pid': 14612, 'name': 'msteamsupdate.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.375}
{'pid': 14880, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 168.0546875}
{'pid': 14952, 'name': 'backgroundTaskHost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 19.234375}
{'pid': 15036, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 79.93359375}
{'pid': 15084, 'name': 'Cortana.exe', 'username': 'MSI\\Onkar Ople', 'vms': 29.47265625}
{'pid': 15176, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 42.1484375}
{'pid': 15588, 'name': 'RtkUWP.exe', 'username': 'MSI\\Onkar Ople', 'vms': 10.28515625}
{'pid': 15648, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 2.4375}
{'pid': 15732, 'name': 'Nahimic3.exe', 'username': 'MSI\\Onkar Ople', 'vms': 21.19921875}
{'pid': 15812, 'name': 'ApplicationFrameHost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 32.578125}
{'pid': 15832, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 18.44140625}
{'pid': 15836, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 3.3671875}
{'pid': 15884, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 2.75390625}
{'pid': 15912, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 4.16796875}
{'pid': 16008, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 9.87890625}
{'pid': 16112, 'name': 'cpptools.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.67578125}
{'pid': 16208, 'name': 'igfxEM.exe', 'username': 'MSI\\Onkar Ople', 'vms': 6.01953125}
{'pid': 16668, 'name': 'backgroundTaskHost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 22.40625}
{'pid': 17232, 'name': 'NVIDIA Web Helper.exe', 'username': 'MSI\\Onkar Ople', 'vms': 40.4296875}
{'pid': 17664, 'name': 'RtkAudUService64.exe', 'username': 'MSI\\Onkar Ople', 'vms': 6.609375}
{'pid': 17692, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 66.27734375}
{'pid': 17724, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 10.71484375}
{'pid': 17772, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 16.32421875}
{'pid': 17980, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 236.5859375}
{'pid': 18380, 'name': 'sihost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 6.76953125}
{'pid': 18612, 'name': 'conhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.421875}
{'pid': 18724, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 142.4453125}
{'pid': 18932, 'name': 'explorer.exe', 'username': 'MSI\\Onkar Ople', 'vms': 77.84375}
{'pid': 19064, 'name': 'Widgets.exe', 'username': 'MSI\\Onkar Ople', 'vms': 9.80078125}
{'pid': 19184, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 3.75}
{'pid': 19248, 'name': 'conhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.35546875}
{'pid': 19472, 'name': 'svchost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 3.375}
{'pid': 19664, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 23.40625}
{'pid': 19732, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 19.69921875}
{'pid': 19812, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 1.97265625}
{'pid': 19840, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 11.01171875}
{'pid': 20116, 'name': 'ONLINENT.EXE', 'username': 'MSI\\Onkar Ople', 'vms': 8.12890625}
{'pid': 20252, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 24.09765625}
