--------------------------------------------------------------------------------
Marvellous Indosystems Fri Jan 20 23:55:47 2023
--------------------------------------------------------------------------------

{'pid': 11976, 'name': 'AnyDesk.exe', 'username': 'MSI\\Onkar Ople', 'vms': 20.7734375}
{'pid': 11992, 'name': 'TextInputHost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 15.5390625}
{'pid': 12072, 'name': 'RuntimeBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.90625}
{'pid': 12240, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 19.8515625}
{'pid': 12248, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 10.71875}
{'pid': 12424, 'name': 'dllhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 6.48046875}
{'pid': 12524, 'name': 'GameBar.exe', 'username': 'MSI\\Onkar Ople', 'vms': 20.4921875}
{'pid': 12564, 'name': 'UserOOBEBroker.exe', 'username': 'MSI\\Onkar Ople', 'vms': 1.9921875}
{'pid': 12992, 'name': 'helper.exe', 'username': 'MSI\\Onkar Ople', 'vms': 6.0}
{'pid': 13036, 'name': 'RtkAudUService64.exe', 'username': 'MSI\\Onkar Ople', 'vms': 7.05078125}
{'pid': 13372, 'name': 'Cortana.exe', 'username': 'MSI\\Onkar Ople', 'vms': 34.69921875}
{'pid': 13524, 'name': 'Code.exe', 'username': 'MSI\\Onkar Ople', 'vms': 60.671875}
{'pid': 13840, 'name': 'SearchProtocolHost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 2.16796875}
{'pid': 13880, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 18.5625}
{'pid': 14244, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 2.0}
{'pid': 14280, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 100.44140625}
{'pid': 14292, 'name': 'conhost.exe', 'username': 'MSI\\Onkar Ople', 'vms': 5.421875}
{'pid': 14360, 'name': 'chrome.exe', 'username': 'MSI\\Onkar Ople', 'vms': 28.12109375}
{'pid': 14568, 'name': 'msedge.exe', 'username': 'MSI\\Onkar Ople', 'vms': 24.9609375}
