--------------------------------------------------------------------------------
Marvellous Indosystems Fri Jan 20 23:57:02 2023
--------------------------------------------------------------------------------

{'pid': 1480, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 217.703125}
{'pid': 1860, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 9.80859375}
{'pid': 1924, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 51.625}
{'pid': 2556, 'username': 'MSI\\Onkar Ople', 'name': 'ONLINENT.EXE', 'vms': 7.05859375}
{'pid': 2592, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 71.65234375}
{'pid': 2740, 'username': 'MSI\\Onkar Ople', 'name': 'NVIDIA Share.exe', 'vms': 64.2109375}
{'pid': 3224, 'username': 'MSI\\Onkar Ople', 'name': 'SecurityHealthSystray.exe', 'vms': 1.9765625}
{'pid': 3528, 'username': 'MSI\\Onkar Ople', 'name': 'igfxEM.exe', 'vms': 7.63671875}
{'pid': 3716, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 49.76953125}
{'pid': 3740, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 678.65625}
{'pid': 3748, 'username': 'MSI\\Onkar Ople', 'name': 'dllhost.exe', 'vms': 6.33984375}
{'pid': 3852, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 2.578125}
{'pid': 3884, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 36.06640625}
{'pid': 4036, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 7.2421875}
{'pid': 4104, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 7.85546875}
{'pid': 4156, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 144.98828125}
{'pid': 4264, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 7.40625}
{'pid': 4324, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 3.9609375}
{'pid': 4912, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 18.01171875}
{'pid': 5424, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 95.6015625}
{'pid': 5512, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 12.71875}
{'pid': 5544, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 83.99609375}
{'pid': 5796, 'username': 'MSI\\Onkar Ople', 'name': 'conhost.exe', 'vms': 5.421875}
{'pid': 5936, 'username': 'MSI\\Onkar Ople', 'name': 'nvcontainer.exe', 'vms': 7.75}
{'pid': 6292, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 3.99609375}
{'pid': 6372, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 9.0390625}
{'pid': 6512, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 40.13671875}
{'pid': 7084, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 401.42578125}
{'pid': 7324, 'username': 'MSI\\Onkar Ople', 'name': 'GameBarFTServer.exe', 'vms': 3.25390625}
{'pid': 8116, 'username': 'MSI\\Onkar Ople', 'name': 'cpptools.exe', 'vms': 20.71875}
{'pid': 8200, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 1.37109375}
{'pid': 8468, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 5.5234375}
{'pid': 8476, 'username': 'MSI\\Onkar Ople', 'name': 'Nahimic3.exe', 'vms': 20.265625}
{'pid': 8992, 'username': 'MSI\\Onkar Ople', 'name': 'nvcontainer.exe', 'vms': 33.6015625}
{'pid': 9260, 'username': 'MSI\\Onkar Ople', 'name': 'python.exe', 'vms': 24.75390625}
{'pid': 9280, 'username': 'MSI\\Onkar Ople', 'name': 'NVIDIA Web Helper.exe', 'vms': 35.1015625}
{'pid': 9408, 'username': 'MSI\\Onkar Ople', 'name': 'taskhostw.exe', 'vms': 2.9296875}
{'pid': 9436, 'username': 'MSI\\Onkar Ople', 'name': 'IGCC.exe', 'vms': 14.67578125}
{'pid': 9612, 'username': 'MSI\\Onkar Ople', 'name': 'RtkUWP.exe', 'vms': 10.37109375}
{'pid': 9628, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 9.91796875}
{'pid': 9660, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 2.6875}
{'pid': 9676, 'username': 'MSI\\Onkar Ople', 'name': 'NVIDIA Share.exe', 'vms': 19.625}
{'pid': 9948, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 144.74609375}
{'pid': 10108, 'username': 'MSI\\Onkar Ople', 'name': 'sihost.exe', 'vms': 6.609375}
{'pid': 10440, 'username': 'MSI\\Onkar Ople', 'name': 'Amazon Music Helper.exe', 'vms': 2.05859375}
{'pid': 10544, 'username': 'MSI\\Onkar Ople', 'name': 'utweb.exe', 'vms': 34.7890625}
{'pid': 10568, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 17.5625}
{'pid': 10632, 'username': 'MSI\\Onkar Ople', 'name': 'explorer.exe', 'vms': 104.296875}
{'pid': 11136, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 7.6484375}
{'pid': 11480, 'username': 'MSI\\Onkar Ople', 'name': 'NVIDIA Share.exe', 'vms': 32.13671875}
{'pid': 11616, 'username': 'MSI\\Onkar Ople', 'name': 'Widgets.exe', 'vms': 8.90234375}
{'pid': 11660, 'username': 'MSI\\Onkar Ople', 'name': 'SearchHost.exe', 'vms': 102.6796875}
{'pid': 11708, 'username': 'MSI\\Onkar Ople', 'name': 'StartMenuExperienceHost.exe', 'vms': 26.5078125}
{'pid': 11852, 'username': 'MSI\\Onkar Ople', 'name': 'python.exe', 'vms': 11.671875}
{'pid': 11936, 'username': 'MSI\\Onkar Ople', 'name': 'ApplicationFrameHost.exe', 'vms': 21.8203125}
{'pid': 11964, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 1.98828125}
{'pid': 11976, 'username': 'MSI\\Onkar Ople', 'name': 'AnyDesk.exe', 'vms': 20.7734375}
{'pid': 11992, 'username': 'MSI\\Onkar Ople', 'name': 'TextInputHost.exe', 'vms': 15.5703125}
{'pid': 12072, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 5.90625}
{'pid': 12240, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 19.94921875}
{'pid': 12248, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 10.71875}
{'pid': 12424, 'username': 'MSI\\Onkar Ople', 'name': 'dllhost.exe', 'vms': 6.4296875}
{'pid': 12524, 'username': 'MSI\\Onkar Ople', 'name': 'GameBar.exe', 'vms': 20.4921875}
{'pid': 12564, 'username': 'MSI\\Onkar Ople', 'name': 'UserOOBEBroker.exe', 'vms': 1.9921875}
{'pid': 12992, 'username': 'MSI\\Onkar Ople', 'name': 'helper.exe', 'vms': 6.0}
{'pid': 13036, 'username': 'MSI\\Onkar Ople', 'name': 'RtkAudUService64.exe', 'vms': 7.05078125}
{'pid': 13372, 'username': 'MSI\\Onkar Ople', 'name': 'Cortana.exe', 'vms': 34.69921875}
{'pid': 13524, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 60.64453125}
{'pid': 13840, 'username': 'MSI\\Onkar Ople', 'name': 'SearchProtocolHost.exe', 'vms': 2.16796875}
{'pid': 13880, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 18.5625}
{'pid': 14244, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 2.0}
{'pid': 14280, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 65.5078125}
{'pid': 14292, 'username': 'MSI\\Onkar Ople', 'name': 'conhost.exe', 'vms': 5.421875}
{'pid': 14360, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 27.6484375}
{'pid': 14568, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 24.9609375}
{'pid': 14580, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 12.078125}
{'pid': 14604, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 7.63671875}
{'pid': 14744, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 76.16015625}
{'pid': 14772, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 16.5859375}
{'pid': 14888, 'username': 'MSI\\Onkar Ople', 'name': 'Video.UI.exe', 'vms': 17.46875}
{'pid': 15120, 'username': 'MSI\\Onkar Ople', 'name': 'SystemSettings.exe', 'vms': 39.3359375}
{'pid': 15160, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 19.05859375}
{'pid': 15168, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 77.79296875}
{'pid': 15584, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 4.44921875}
{'pid': 15600, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 11.609375}
{'pid': 15640, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 3.28125}
{'pid': 15800, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 5.7421875}
{'pid': 15808, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 15.984375}
{'pid': 15952, 'username': 'MSI\\Onkar Ople', 'name': 'IAStorIcon.exe', 'vms': 34.9296875}
{'pid': 16052, 'username': 'MSI\\Onkar Ople', 'name': 'dllhost.exe', 'vms': 1.49609375}
{'pid': 16428, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 183.57421875}
{'pid': 16432, 'username': 'MSI\\Onkar Ople', 'name': 'conhost.exe', 'vms': 5.29296875}
{'pid': 16600, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 154.40234375}
{'pid': 17132, 'username': 'MSI\\Onkar Ople', 'name': 'cpptools.exe', 'vms': 5.67578125}
{'pid': 17136, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 22.43359375}
{'pid': 17180, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 22.09375}
{'pid': 17328, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 31.2109375}
{'pid': 17596, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 20.2265625}
{'pid': 17792, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 16.12890625}
{'pid': 17804, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 80.32421875}
{'pid': 18776, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 19.953125}
{'pid': 19036, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 3.53125}
{'pid': 19188, 'username': 'MSI\\Onkar Ople', 'name': 'LockApp.exe', 'vms': 13.12890625}
{'pid': 19552, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 7.94140625}
{'pid': 19696, 'username': 'MSI\\Onkar Ople', 'name': 'cmd.exe', 'vms': 2.75}
{'pid': 20428, 'username': 'MSI\\Onkar Ople', 'name': 'conhost.exe', 'vms': 6.47265625}
