--------------------------------------------------------------------------------
Marvellous Indosystems Fri Jan 20 23:44:35 2023
--------------------------------------------------------------------------------

{'pid': 12072, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 5.9765625}
{'pid': 12240, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 19.8515625}
{'pid': 12248, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 10.71875}
{'pid': 12424, 'username': 'MSI\\Onkar Ople', 'name': 'dllhost.exe', 'vms': 6.4296875}
{'pid': 12524, 'username': 'MSI\\Onkar Ople', 'name': 'GameBar.exe', 'vms': 20.4921875}
{'pid': 12564, 'username': 'MSI\\Onkar Ople', 'name': 'UserOOBEBroker.exe', 'vms': 1.9921875}
{'pid': 12992, 'username': 'MSI\\Onkar Ople', 'name': 'helper.exe', 'vms': 6.0}
{'pid': 13036, 'username': 'MSI\\Onkar Ople', 'name': 'RtkAudUService64.exe', 'vms': 7.05078125}
{'pid': 13372, 'username': 'MSI\\Onkar Ople', 'name': 'Cortana.exe', 'vms': 34.69921875}
{'pid': 13524, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 60.28515625}
{'pid': 13840, 'username': 'MSI\\Onkar Ople', 'name': 'SearchProtocolHost.exe', 'vms': 2.16796875}
{'pid': 13880, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 18.5625}
{'pid': 14244, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 2.0}
{'pid': 14292, 'username': 'MSI\\Onkar Ople', 'name': 'conhost.exe', 'vms': 5.421875}
{'pid': 14360, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 27.17578125}
{'pid': 14568, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 24.96484375}
{'pid': 14580, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 12.10546875}
{'pid': 14604, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 7.63671875}
{'pid': 14772, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 16.5859375}
{'pid': 14888, 'username': 'MSI\\Onkar Ople', 'name': 'Video.UI.exe', 'vms': 17.46875}
{'pid': 15120, 'username': 'MSI\\Onkar Ople', 'name': 'SystemSettings.exe', 'vms': 39.3359375}
{'pid': 15160, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 19.05859375}
{'pid': 15168, 'username': 'MSI\\Onkar Ople', 'name': 'msedge.exe', 'vms': 77.83203125}
{'pid': 15584, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 4.44921875}
{'pid': 15600, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 11.30859375}
{'pid': 15640, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 3.21484375}
{'pid': 15800, 'username': 'MSI\\Onkar Ople', 'name': 'svchost.exe', 'vms': 5.7578125}
{'pid': 15808, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 15.984375}
{'pid': 15952, 'username': 'MSI\\Onkar Ople', 'name': 'IAStorIcon.exe', 'vms': 34.9296875}
{'pid': 16052, 'username': 'MSI\\Onkar Ople', 'name': 'dllhost.exe', 'vms': 1.49609375}
{'pid': 16260, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 25.44921875}
{'pid': 16428, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 181.71875}
{'pid': 16432, 'username': 'MSI\\Onkar Ople', 'name': 'conhost.exe', 'vms': 5.29296875}
{'pid': 16600, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 147.07421875}
{'pid': 16660, 'username': 'MSI\\Onkar Ople', 'name': 'python.exe', 'vms': 12.0546875}
{'pid': 17132, 'username': 'MSI\\Onkar Ople', 'name': 'cpptools.exe', 'vms': 5.67578125}
{'pid': 17136, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 22.43359375}
{'pid': 17596, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 62.953125}
{'pid': 17792, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 16.12109375}
{'pid': 17804, 'username': 'MSI\\Onkar Ople', 'name': 'Code.exe', 'vms': 94.8359375}
{'pid': 19036, 'username': 'MSI\\Onkar Ople', 'name': 'RuntimeBroker.exe', 'vms': 3.53125}
{'pid': 19188, 'username': 'MSI\\Onkar Ople', 'name': 'LockApp.exe', 'vms': 13.12890625}
{'pid': 19696, 'username': 'MSI\\Onkar Ople', 'name': 'cmd.exe', 'vms': 2.75}
{'pid': 20304, 'username': 'MSI\\Onkar Ople', 'name': 'chrome.exe', 'vms': 39.12890625}
{'pid': 20428, 'username': 'MSI\\Onkar Ople', 'name': 'conhost.exe', 'vms': 6.4609375}
